timestamp,gas_price
09/14/2016,10.93
09/15/2016,11.55
09/16/2016,11.88
09/17/2016,12.38666667
09/18/2016,12.89333333
09/19/2016,13.4
09/20/2016,12.43
09/21/2016,13.1
09/22/2016,13.18
09/23/2016,13.5
09/24/2016,13.48333333
09/25/2016,13.46666667
09/26/2016,13.45
09/27/2016,12.85
09/28/2016,13.5
09/29/2016,13.55
09/30/2016,13.48
10/01/2016,13.15333333
10/02/2016,12.82666667
10/03/2016,12.5
10/04/2016,13.82
10/05/2016,15.1
10/06/2016,15.38
10/07/2016,15.45
10/08/2016,15.48333333
10/09/2016,15.51666667
10/10/2016,15.55
10/11/2016,15.55
10/12/2016,15.35
10/13/2016,15.65
10/14/2016,15.5
10/15/2016,15.66666667
10/16/2016,15.83333333
10/17/2016,16
10/18/2016,16.75
10/19/2016,16.95
10/20/2016,17.05
10/21/2016,17
10/22/2016,17.11666667
10/23/2016,17.23333333
10/24/2016,17.35
10/25/2016,17.7
10/26/2016,17.27
10/27/2016,17.35
10/28/2016,16.9
10/29/2016,17.2
10/30/2016,17.5
10/31/2016,17.8
11/01/2016,16.58
11/02/2016,18.2
11/03/2016,18.8
11/04/2016,18.25
11/05/2016,18.12666667
11/06/2016,18.00333333
11/07/2016,17.88
11/08/2016,17.85
11/09/2016,18.02
11/10/2016,18.1
11/11/2016,18.18
11/12/2016,17.98666667
11/13/2016,17.79333333
11/14/2016,17.6
11/15/2016,17.92
11/16/2016,17.45
11/17/2016,17.78
11/18/2016,17.98
11/19/2016,17.75333333
11/20/2016,17.52666667
11/21/2016,17.3
11/22/2016,17.65
11/23/2016,17.73
11/24/2016,17.88
11/25/2016,17.78
11/26/2016,17.98666667
11/27/2016,18.19333333
11/28/2016,18.4
11/29/2016,18.4
11/30/2016,18.2
12/01/2016,18.08
12/02/2016,17.6
12/03/2016,17.37333333
12/04/2016,17.14666667
12/05/2016,16.92
12/06/2016,16.48
12/07/2016,16.43
12/08/2016,16.6
12/09/2016,16.6
12/10/2016,16.8
12/11/2016,17
12/12/2016,17.2
12/13/2016,17.3
12/14/2016,17
12/15/2016,17
12/16/2016,17.5
12/17/2016,17.6
12/18/2016,17.7
12/19/2016,17.8
12/20/2016,17.73
12/21/2016,17.95
12/22/2016,18.13
12/23/2016,18.4
12/24/2016,18.4
12/25/2016,18.4
12/26/2016,18.4
12/27/2016,18.6
12/28/2016,18.78
12/29/2016,18.92
12/30/2016,19.75
12/31/2016,19.63333333
01/01/2017,19.51666667
01/02/2017,19.4
01/03/2017,18.5
01/04/2017,19.38
01/05/2017,18.77
01/06/2017,18.65
01/07/2017,18.83333333
01/08/2017,19.01666667
01/09/2017,19.2
01/10/2017,20.1
01/11/2017,20.6
01/12/2017,20.8
01/13/2017,20.17
01/14/2017,19.80666667
01/15/2017,19.44333333
01/16/2017,19.08
01/17/2017,20.05
01/18/2017,20.05
01/19/2017,20.67
01/20/2017,20.75
01/21/2017,21.23333333
01/22/2017,21.71666667
01/23/2017,22.2
01/24/2017,21.83
01/25/2017,20.65
01/26/2017,20.25
01/27/2017,19.7
01/28/2017,20.03333333
01/29/2017,20.36666667
01/30/2017,20.7
01/31/2017,21.2
02/01/2017,22.27
02/02/2017,22
02/03/2017,23
02/04/2017,23
02/05/2017,23
02/06/2017,23
02/07/2017,21.88
02/08/2017,20.55
02/09/2017,20.6
02/10/2017,20.1
02/11/2017,19.76
02/12/2017,19.42
02/13/2017,19.08
02/14/2017,18.6
02/15/2017,18.8
02/16/2017,18.9
02/17/2017,18.23
02/18/2017,18.20333333
02/19/2017,18.17666667
02/20/2017,18.15
02/21/2017,17.77
02/22/2017,17.8
02/23/2017,18.45
02/24/2017,17.55
02/25/2017,17.44333333
02/26/2017,17.33666667
02/27/2017,17.23
02/28/2017,17.1
03/01/2017,17.15
03/02/2017,17.02
03/03/2017,16.7
03/04/2017,16.74333333
03/05/2017,16.78666667
03/06/2017,16.83
03/07/2017,16.4
03/08/2017,16.45
03/09/2017,16.05
03/10/2017,16
03/11/2017,15.94333333
03/12/2017,15.88666667
03/13/2017,15.83
03/14/2017,15.95
03/15/2017,15.77
03/16/2017,15.73
03/17/2017,15.7
03/18/2017,15.6
03/19/2017,15.5
03/20/2017,15.4
03/21/2017,15.52
03/22/2017,15.45
03/23/2017,15.2
03/24/2017,14.9
03/25/2017,14.84333333
03/26/2017,14.78666667
03/27/2017,14.73
03/28/2017,14.6
03/29/2017,15
03/30/2017,15.68
03/31/2017,15.32
04/01/2017,15.58
04/02/2017,15.84
04/03/2017,16.1
04/04/2017,16.05
04/05/2017,16.3
04/06/2017,15.98
04/07/2017,15.6
04/08/2017,15.6
04/09/2017,15.6
04/10/2017,15.6
04/11/2017,15.65
04/12/2017,15.73
04/13/2017,15.7
04/14/2017,15.7
04/15/2017,15.79
04/16/2017,15.88
04/17/2017,15.97
04/18/2017,16.4
04/19/2017,16.25
04/20/2017,16.1
04/21/2017,16.58
04/22/2017,16.47666667
04/23/2017,16.37333333
04/24/2017,16.27
04/25/2017,16.08
04/26/2017,16.4
04/27/2017,16.15
04/28/2017,16.55
04/29/2017,16.60666667
04/30/2017,16.66333333
05/01/2017,16.72
05/02/2017,16.7
05/03/2017,16.6
05/04/2017,16.1
05/05/2017,16
05/06/2017,15.94
05/07/2017,15.88
05/08/2017,15.82
05/09/2017,15.85
05/10/2017,15.95
05/11/2017,15.3
05/12/2017,15.58
05/13/2017,15.54666667
05/14/2017,15.51333333
05/15/2017,15.48
05/16/2017,15.57
05/17/2017,15.5
05/18/2017,15.6
05/19/2017,15.3
05/20/2017,15.28333333
05/21/2017,15.26666667
05/22/2017,15.25
05/23/2017,15.55
05/24/2017,15.2
05/25/2017,15
05/26/2017,15.1
05/27/2017,15.18
05/28/2017,15.26
05/29/2017,15.34
05/30/2017,15.58
05/31/2017,15.3
06/01/2017,15.07
06/02/2017,14.65
06/03/2017,14.78333333
06/04/2017,14.91666667
06/05/2017,15.05
06/06/2017,14.85
06/07/2017,14.98
06/08/2017,15.08
06/09/2017,15.07
06/10/2017,15.09
06/11/2017,15.11
06/12/2017,15.13
06/13/2017,15.18
06/14/2017,15.1
06/15/2017,14.7
06/16/2017,15.18
06/17/2017,15.24666667
06/18/2017,15.31333333
06/19/2017,15.38
06/20/2017,15.38
06/21/2017,15.38
06/22/2017,15.23
06/23/2017,15.07
06/24/2017,15.18
06/25/2017,15.29
06/26/2017,15.4
06/27/2017,15.32
06/28/2017,15.43
06/29/2017,14.98
06/30/2017,15.35
07/01/2017,15.5
07/02/2017,15.65
07/03/2017,15.8
07/04/2017,15.35
07/05/2017,15.35
07/06/2017,15.13
07/07/2017,15.02
07/08/2017,15.02333333
07/09/2017,15.02666667
07/10/2017,15.03
07/11/2017,14.7
07/12/2017,14.75
07/13/2017,15.05
07/14/2017,15
07/15/2017,14.96666667
07/16/2017,14.93333333
07/17/2017,14.9
07/18/2017,14.98
07/19/2017,15.03
07/20/2017,15.3
07/21/2017,15.07
07/22/2017,15.03
07/23/2017,14.99
07/24/2017,14.95
07/25/2017,15.1
07/26/2017,15.4
07/27/2017,15.05
07/28/2017,15
07/29/2017,15.01666667
07/30/2017,15.03333333
07/31/2017,15.05
08/01/2017,14.75
08/02/2017,14.93
08/03/2017,15.13
08/04/2017,15.18
08/05/2017,15.30333333
08/06/2017,15.42666667
08/07/2017,15.55
08/08/2017,15.48
08/09/2017,15.88
08/10/2017,16.15
08/11/2017,16.2
08/12/2017,16.07666667
08/13/2017,15.95333333
08/14/2017,15.83
08/15/2017,15.8
08/16/2017,16.2
08/17/2017,16.1
08/18/2017,16.4
08/19/2017,16.36666667
08/20/2017,16.33333333
08/21/2017,16.3
08/22/2017,16.25
08/23/2017,16.58
08/24/2017,16.3
08/25/2017,16.45
08/26/2017,16.55666667
08/27/2017,16.66333333
08/28/2017,16.77
08/29/2017,16.45
08/30/2017,16.83
08/31/2017,16.33
09/01/2017,16.48
09/02/2017,16.49333333
09/03/2017,16.50666667
09/04/2017,16.52
09/05/2017,16.95
09/06/2017,17
09/07/2017,16.7
09/08/2017,17.05
09/09/2017,17.11
09/10/2017,17.17
09/11/2017,17.23
09/12/2017,17.25
09/13/2017,17.68
09/14/2017,17.98
09/15/2017,17.8
09/16/2017,17.86666667
09/17/2017,17.93333333
09/18/2017,18
09/19/2017,17.58
09/20/2017,17.5
09/21/2017,17.23
09/22/2017,17.23
09/23/2017,17.44666667
09/24/2017,17.66333333
09/25/2017,17.88
09/26/2017,17.7
09/27/2017,17.5
09/28/2017,17.7
09/29/2017,16.4
09/30/2017,16.44333333
10/01/2017,16.48666667
10/02/2017,16.53
10/03/2017,17.4
10/04/2017,17.48
10/05/2017,17.9
10/06/2017,17.73
10/07/2017,17.78666667
10/08/2017,17.84333333
10/09/2017,17.9
10/10/2017,17.63
10/11/2017,17.2
10/12/2017,16.98
10/13/2017,16.55
10/14/2017,16.41666667
10/15/2017,16.28333333
10/16/2017,16.15
10/17/2017,16.85
10/18/2017,16.83
10/19/2017,16.45
10/20/2017,16.35
10/21/2017,16.52666667
10/22/2017,16.70333333
10/23/2017,16.88
10/24/2017,16.58
10/25/2017,16.98
10/26/2017,17.05
10/27/2017,17.08
10/28/2017,17.34666667
10/29/2017,17.61333333
10/30/2017,17.88
10/31/2017,17.9
11/01/2017,18.38
11/02/2017,18.1
11/03/2017,18.3
11/04/2017,18.51
11/05/2017,18.72
11/06/2017,18.93
11/07/2017,19.25
11/08/2017,19.3
11/09/2017,19.33
11/10/2017,19.85
11/11/2017,19.89333333
11/12/2017,19.93666667
11/13/2017,19.98
11/14/2017,19.33
11/15/2017,19.02
11/16/2017,19.17
11/17/2017,19.05
11/18/2017,19.20666667
11/19/2017,19.36333333
11/20/2017,19.52
11/21/2017,19.65
11/22/2017,19.6
11/23/2017,20.25
11/24/2017,20.5
11/25/2017,20.63333333
11/26/2017,20.76666667
11/27/2017,20.9
11/28/2017,20.65
11/29/2017,20.8
11/30/2017,20.7
12/01/2017,20.85
12/02/2017,21.08333333
12/03/2017,21.31666667
12/04/2017,21.55
12/05/2017,21.4
12/06/2017,21.15
12/07/2017,21.4
12/08/2017,21
12/09/2017,21.25666667
12/10/2017,21.51333333
12/11/2017,21.77
12/12/2017,22.17
12/13/2017,21.5
12/14/2017,21.6
12/15/2017,21.53
12/16/2017,21.42
12/17/2017,21.31
12/18/2017,21.2
12/19/2017,20.17
12/20/2017,20.38
12/21/2017,20.2
12/22/2017,20
12/23/2017,19.96666667
12/24/2017,19.93333333
12/25/2017,19.9
12/26/2017,19.85
12/27/2017,19.95
12/28/2017,19.78
12/29/2017,19.35
12/30/2017,19.41666667
12/31/2017,19.48333333
01/01/2018,19.55
01/02/2018,19.15
01/03/2018,19.05
01/04/2018,19.1
01/05/2018,18.77
01/06/2018,18.83
01/07/2018,18.89
01/08/2018,18.95
01/09/2018,19.42
01/10/2018,19.43
01/11/2018,19.27
01/12/2018,19.6
01/13/2018,19.4
01/14/2018,19.2
01/15/2018,19
01/16/2018,18.8
01/17/2018,18.42
01/18/2018,18.73
01/19/2018,18.3
01/20/2018,18.36666667
01/21/2018,18.43333333
01/22/2018,18.5
01/23/2018,18
01/24/2018,17.85
01/25/2018,17.83
01/26/2018,17.4
01/27/2018,17.41666667
01/28/2018,17.43333333
01/29/2018,17.45
01/30/2018,17.4
01/31/2018,17.83
02/01/2018,18.1
02/02/2018,18.27
02/03/2018,18.09666667
02/04/2018,17.92333333
02/05/2018,17.75
02/06/2018,17.98
02/07/2018,18.35
02/08/2018,17.98
02/09/2018,17.95
02/10/2018,17.98333333
02/11/2018,18.01666667
02/12/2018,18.05
02/13/2018,18.43
02/14/2018,18.23
02/15/2018,17.98
02/16/2018,18.23
02/17/2018,18.68666667
02/18/2018,19.14333333
02/19/2018,19.6
02/20/2018,21.13
02/21/2018,22.05
02/22/2018,22
02/23/2018,26.6
02/24/2018,26.2
02/25/2018,25.8
02/26/2018,25.4
02/27/2018,34.4
02/28/2018,45.1
03/01/2018,76
03/02/2018,28.5
03/03/2018,25.76666667
03/04/2018,23.03333333
03/05/2018,20.3
03/06/2018,19.6
03/07/2018,18.8
03/08/2018,19.4
03/09/2018,19.95
03/10/2018,22.08333333
03/11/2018,24.21666667
03/12/2018,26.35
03/13/2018,25
03/14/2018,22.65
03/15/2018,24.3
03/16/2018,20.2
03/17/2018,20.35
03/18/2018,20.5
03/19/2018,20.65
03/20/2018,21.42
03/21/2018,21.8
03/22/2018,20.65
03/23/2018,19.6
03/24/2018,19.2
03/25/2018,18.8
03/26/2018,18.4
03/27/2018,18.63
03/28/2018,18.5
03/29/2018,19.5
03/30/2018,19.5
03/31/2018,19.59
04/01/2018,19.68
04/02/2018,19.77
04/03/2018,18.65
04/04/2018,19.1
04/05/2018,19.08
04/06/2018,18.83
04/07/2018,18.88666667
04/08/2018,18.94333333
04/09/2018,19
04/10/2018,20.2
04/11/2018,19.53
04/12/2018,20.77
04/13/2018,20.2
04/14/2018,19.9
04/15/2018,19.6
04/16/2018,19.3
04/17/2018,19
04/18/2018,19.15
04/19/2018,19.92
04/20/2018,19.63
04/21/2018,19.68666667
04/22/2018,19.74333333
04/23/2018,19.8
04/24/2018,19.68
04/25/2018,19.88
04/26/2018,20.13
04/27/2018,20.15
04/28/2018,20.36
04/29/2018,20.57
04/30/2018,20.78
05/01/2018,20.15
05/02/2018,20.38
05/03/2018,19.98
05/04/2018,20.42
05/05/2018,20.50333333
05/06/2018,20.58666667
05/07/2018,20.67
05/08/2018,20.7
05/09/2018,20.6
05/10/2018,20.9
05/11/2018,21.25
05/12/2018,21.34333333
05/13/2018,21.43666667
05/14/2018,21.53
05/15/2018,21.38
05/16/2018,21.75
05/17/2018,22.3
05/18/2018,22.08
05/19/2018,22.13
05/20/2018,22.18
05/21/2018,22.23
05/22/2018,22.8
05/23/2018,22.8
05/24/2018,22.7
05/25/2018,21.8
05/26/2018,21.8
05/27/2018,21.8
05/28/2018,21.8
05/29/2018,22.6
05/30/2018,22.75
05/31/2018,22.45
06/01/2018,21.85
06/02/2018,21.95
06/03/2018,22.05
06/04/2018,22.15
06/05/2018,21.85
06/06/2018,21.6
06/07/2018,21.75
06/08/2018,21.7
06/09/2018,21.66666667
06/10/2018,21.63333333
06/11/2018,21.6
06/12/2018,21.93
06/13/2018,22.48
06/14/2018,22.77
06/15/2018,21.88
06/16/2018,22.10333333
06/17/2018,22.32666667
06/18/2018,22.55
06/19/2018,22.13
06/20/2018,21.88
06/21/2018,21.7
06/22/2018,21.8
06/23/2018,21.73333333
06/24/2018,21.66666667
06/25/2018,21.6
06/26/2018,21.63
06/27/2018,22.15
06/28/2018,21.9
06/29/2018,21.58
06/30/2018,21.76333333
07/01/2018,21.94666667
07/02/2018,22.13
07/03/2018,22.25
07/04/2018,22.35
07/05/2018,22.35
07/06/2018,22.23
07/07/2018,22.36333333
07/08/2018,22.49666667
07/09/2018,22.63
07/10/2018,22.78
07/11/2018,22.52
07/12/2018,22.1
07/13/2018,22.48
07/14/2018,22.33666667
07/15/2018,22.19333333
07/16/2018,22.05
